lat_info;lng_info;city_name;state_id;state_name;region_name
42,7959;-71,05323;Haverhill;MA;Massachusetts;Northeast
42,72409;-70,9821;Georgetown;MA;Massachusetts;Northeast
42,75198;-71,01486;Groveland;MA;Massachusetts;Northeast
42,70695;-71,16014;Lawrence;MA;Massachusetts;Northeast
42,73426;-71,18858;Methuen;MA;Massachusetts;Northeast
42,67132;-71,08669;North Andover;MA;Massachusetts;Northeast
42,65569;-71,30292;Lowell;MA;Massachusetts;Northeast
42,83858;-71,01194;Merrimac;MA;Massachusetts;Northeast
42,57427;-71,29437;North Billerica;MA;Massachusetts;Northeast
42,63274;-71,39132;North Chelmsford;MA;Massachusetts;Northeast
42,58156;-71,08759;North Reading;MA;Massachusetts;Northeast
42,53505;-71,1055;Reading;MA;Massachusetts;Northeast
42,61206;-71,22733;Tewksbury;MA;Massachusetts;Northeast
42,66626;-71,42911;Tyngsboro;MA;Massachusetts;Northeast
42,50348;-71,06559;Wakefield;MA;Massachusetts;Northeast
42,58642;-71,44008;Westford;MA;Massachusetts;Northeast
42,56091;-71,16541;Wilmington;MA;Massachusetts;Northeast
42,45177;-71,14628;Winchester;MA;Massachusetts;Northeast
42,46125;-70,94639;Lynn;MA;Massachusetts;Northeast
42,46922;-71,01299;Saugus;MA;Massachusetts;Northeast
42,47572;-70,90684;Swampscott;MA;Massachusetts;Northeast
42,42856;-70,92614;Nahant;MA;Massachusetts;Northeast
42,85297;-70,94459;Amesbury;MA;Massachusetts;Northeast
42,56841;-70,8647;Beverly;MA;Massachusetts;Northeast
42,6815;-71,01887;Boxford;MA;Massachusetts;Northeast
42,75862;-70,91758;Byfield;MA;Massachusetts;Northeast
42,57398;-70,94923;Danvers;MA;Massachusetts;Northeast
42,63478;-70,77684;Essex;MA;Massachusetts;Northeast
42,62605;-70,68966;Gloucester;MA;Massachusetts;Northeast
42,58579;-70,98406;Hathorne;MA;Massachusetts;Northeast
42,68568;-70,83989;Ipswich;MA;Massachusetts;Northeast
42,53523;-71,03695;Lynnfield;MA;Massachusetts;Northeast
42,58154;-70,76825;Manchester;MA;Massachusetts;Northeast
42,49924;-70,86348;Marblehead;MA;Massachusetts;Northeast
42,6043;-71,01641;Middleton;MA;Massachusetts;Northeast
42,81237;-70,88785;Newburyport;MA;Massachusetts;Northeast
42,77742;-70,85022;Newbury;MA;Massachusetts;Northeast
42,84655;-70,86163;Salisbury;MA;Massachusetts;Northeast
42,53374;-70,97222;Peabody;MA;Massachusetts;Northeast
42,56294;-70,82996;Prides Crossing;MA;Massachusetts;Northeast
42,65432;-70,62227;Rockport;MA;Massachusetts;Northeast
42,72235;-70,88832;Rowley;MA;Massachusetts;Northeast
42,51298;-70,90266;Salem;MA;Massachusetts;Northeast
42,62669;-70,85789;South Hamilton;MA;Massachusetts;Northeast
42,63728;-70,94251;Topsfield;MA;Massachusetts;Northeast
42,60078;-70,8826;Wenham;MA;Massachusetts;Northeast
42,7939;-70,96906;West Newbury;MA;Massachusetts;Northeast
42,0777;-71,47407;Bellingham;MA;Massachusetts;Northeast
42,17504;-71,12645;Canton;MA;Massachusetts;Northeast
42,23603;-70,81906;Cohasset;MA;Massachusetts;Northeast
42,24665;-71,1777;Dedham;MA;Massachusetts;Northeast
42,2366;-71,28421;Dover;MA;Massachusetts;Northeast
42,15489;-71,2155;East Walpole;MA;Massachusetts;Northeast
42,06266;-71,24613;Foxboro;MA;Massachusetts;Northeast
42,08622;-71,41126;Franklin;MA;Massachusetts;Northeast
42,21678;-70,88494;Hingham;MA;Massachusetts;Northeast
42,28437;-70,88266;Hull;MA;Massachusetts;Northeast
42,14582;-70,69603;Humarock;MA;Massachusetts;Northeast
42,01626;-71,21868;Mansfield;MA;Massachusetts;Northeast
42,11443;-70,71487;Marshfield;MA;Massachusetts;Northeast
42,1848;-71,30501;Medfield;MA;Massachusetts;Northeast
42,15352;-71,42906;Medway;MA;Massachusetts;Northeast
42,1693;-71,36261;Millis;MA;Massachusetts;Northeast
42,11632;-71,32952;Norfolk;MA;Massachusetts;Northeast
42,16075;-70,81772;Norwell;MA;Massachusetts;Northeast
42,18563;-71,19464;Norwood;MA;Massachusetts;Northeast
42,20129;-70,76155;Scituate;MA;Massachusetts;Northeast
42,10778;-71,18183;Sharon;MA;Massachusetts;Northeast
42,10392;-71,27002;South Walpole;MA;Massachusetts;Northeast
42,1192;-71,10189;Stoughton;MA;Massachusetts;Northeast
42,14689;-71,25916;Walpole;MA;Massachusetts;Northeast
42,22024;-71,21057;Westwood;MA;Massachusetts;Northeast
42,05129;-71,35522;Wrentham;MA;Massachusetts;Northeast
42,35657;-71,06516;Boston;MA;Massachusetts;Northeast
42,32405;-71,08522;Roxbury;MA;Massachusetts;Northeast
42,33212;-71,09654;Roxbury Crossing;MA;Massachusetts;Northeast
42,3057;-71,08693;Dorchester;MA;Massachusetts;Northeast
42,28583;-71,07114;Dorchester Center;MA;Massachusetts;Northeast
42,27588;-71,0918;Mattapan;MA;Massachusetts;Northeast
42,33455;-71,03875;South Boston;MA;Massachusetts;Northeast
42,37324;-71,01616;East Boston;MA;Massachusetts;Northeast
42,37975;-71,06167;Charlestown;MA;Massachusetts;Northeast
42,30823;-71,11515;Jamaica Plain;MA;Massachusetts;Northeast
42,28392;-71,12468;Roslindale;MA;Massachusetts;Northeast
42,27931;-71,16072;West Roxbury;MA;Massachusetts;Northeast
42,35855;-71,12931;Allston;MA;Massachusetts;Northeast
42,34989;-71,15417;Brighton;MA;Massachusetts;Northeast
42,25505;-71,12662;Hyde Park;MA;Massachusetts;Northeast
42,37997;-71,13446;Cambridge;MA;Massachusetts;Northeast
42,38142;-71,09677;Somerville;MA;Massachusetts;Northeast
42,43048;-71,05762;Malden;MA;Massachusetts;Northeast
42,40643;-71,05446;Everett;MA;Massachusetts;Northeast
42,39587;-71,03251;Chelsea;MA;Massachusetts;Northeast
42,41887;-71,004;Revere;MA;Massachusetts;Northeast
42,37724;-70,98115;Winthrop;MA;Massachusetts;Northeast
42,42324;-71,10878;Medford;MA;Massachusetts;Northeast
42,23971;-71,01802;Quincy;MA;Massachusetts;Northeast
42,45561;-71,05901;Melrose;MA;Massachusetts;Northeast
42,47396;-71,09705;Stoneham;MA;Massachusetts;Northeast
42,20386;-71,0022;Braintree;MA;Massachusetts;Northeast
42,23854;-71,08464;Milton;MA;Massachusetts;Northeast
42,20724;-70,95764;Weymouth;MA;Massachusetts;Northeast
42,2111;-70,93135;East Weymouth;MA;Massachusetts;Northeast
42,16625;-70,95253;South Weymouth;MA;Massachusetts;Northeast
42,24434;-70,94378;North Weymouth;MA;Massachusetts;Northeast
42,07791;-71,04223;Brockton;MA;Massachusetts;Northeast
42,12666;-71,04922;Avon;MA;Massachusetts;Northeast
41,97272;-70,97498;Bridgewater;MA;Massachusetts;Northeast
41,87388;-70,7563;Carver;MA;Massachusetts;Northeast
42,04651;-70,71388;Duxbury;MA;Massachusetts;Northeast
42,03521;-70,94235;East Bridgewater;MA;Massachusetts;Northeast
41,99138;-70,86326;Halifax;MA;Massachusetts;Northeast
42,12241;-70,85665;Hanover;MA;Massachusetts;Northeast
42,05604;-70,87251;Hanson;MA;Massachusetts;Northeast
42,14733;-71,00484;Holbrook;MA;Massachusetts;Northeast
41,88034;-70,87446;Middleboro;MA;Massachusetts;Northeast
41,83101;-70,9594;Lakeville;MA;Massachusetts;Northeast
42,02043;-70,84562;Monponsett;MA;Massachusetts;Northeast
42,11805;-70,95905;Abington;MA;Massachusetts;Northeast
42,05519;-71,12071;North Easton;MA;Massachusetts;Northeast
42,06547;-70,8014;Pembroke;MA;Massachusetts;Northeast
41,87817;-70,63089;Plymouth;MA;Massachusetts;Northeast
41,98616;-70,74823;Kingston;MA;Massachusetts;Northeast
41,84868;-70,6613;South Carver;MA;Massachusetts;Northeast
41,96345;-70,80975;Plympton;MA;Massachusetts;Northeast
42,17506;-71,05011;Randolph;MA;Massachusetts;Northeast
42,1295;-70,91002;Rockland;MA;Massachusetts;Northeast
42,01954;-71,10381;South Easton;MA;Massachusetts;Northeast
42,02139;-71,0267;West Bridgewater;MA;Massachusetts;Northeast
42,08;-70,93993;Whitman;MA;Massachusetts;Northeast
42,45821;-71,21762;Lexington;MA;Massachusetts;Northeast
42,32581;-71,13319;Brookline;MA;Massachusetts;Northeast
42,39859;-71,2573;Waltham;MA;Massachusetts;Northeast
42,29777;-71,26887;Babson Park;MA;Massachusetts;Northeast
42,35294;-71,18763;Newton;MA;Massachusetts;Northeast
42,31515;-71,19174;Newton Center;MA;Massachusetts;Northeast
42,35206;-71,20835;Newtonville;MA;Massachusetts;Northeast
42,31693;-71,20875;Newton Highlands;MA;Massachusetts;Northeast
42,33102;-71,25599;Newton Lower Falls;MA;Massachusetts;Northeast
42,31274;-71,21981;Newton Upper Falls;MA;Massachusetts;Northeast
42,34969;-71,22646;West Newton;MA;Massachusetts;Northeast
42,34541;-71,24759;Auburndale;MA;Massachusetts;Northeast
42,31725;-71,16096;Chestnut Hill;MA;Massachusetts;Northeast
42,32777;-71,23142;Waban;MA;Massachusetts;Northeast
42,37;-71,17713;Watertown;MA;Massachusetts;Northeast
42,42053;-71,15666;Arlington;MA;Massachusetts;Northeast
42,39602;-71,17955;Belmont;MA;Massachusetts;Northeast
42,31064;-71,27779;Wellesley Hills;MA;Massachusetts;Northeast
42,29455;-71,29859;Wellesley;MA;Massachusetts;Northeast
42,27615;-71,24387;Needham;MA;Massachusetts;Northeast
42,35893;-71,30009;Weston;MA;Massachusetts;Northeast
42,29959;-71,2317;Needham Heights;MA;Massachusetts;Northeast
41,75111;-70,59713;Buzzards Bay;MA;Massachusetts;Northeast
41,66626;-70,61628;Cataumet;MA;Massachusetts;Northeast
41,34896;-70,74629;Chilmark;MA;Massachusetts;Northeast
41,59706;-70,56677;East Falmouth;MA;Massachusetts;Northeast
41,72882;-70,44317;East Sandwich;MA;Massachusetts;Northeast
41,77872;-70,65077;East Wareham;MA;Massachusetts;Northeast
41,37994;-70,53227;Edgartown;MA;Massachusetts;Northeast
41,57128;-70,62807;Falmouth;MA;Massachusetts;Northeast
41,48731;-70,74525;Woods Hole;MA;Massachusetts;Northeast
41,71297;-70,62011;Monument Beach;MA;Massachusetts;Northeast
41,28555;-70,08043;Nantucket;MA;Massachusetts;Northeast
41,63903;-70,62521;North Falmouth;MA;Massachusetts;Northeast
41,44218;-70,56648;Oak Bluffs;MA;Massachusetts;Northeast
41,74453;-70,65377;Onset;MA;Massachusetts;Northeast
41,69237;-70,61374;Pocasset;MA;Massachusetts;Northeast
41,76782;-70,53281;Sagamore;MA;Massachusetts;Northeast
41,78753;-70,52746;Sagamore Beach;MA;Massachusetts;Northeast
41,71995;-70,4818;Sandwich;MA;Massachusetts;Northeast
41,26552;-69,98608;Siasconset;MA;Massachusetts;Northeast
41,44341;-70,61534;Vineyard Haven;MA;Massachusetts;Northeast
41,76184;-70,70138;Wareham;MA;Massachusetts;Northeast
41,39651;-70,65496;West Tisbury;MA;Massachusetts;Northeast
41,77807;-70,76338;West Wareham;MA;Massachusetts;Northeast
41,66;-70,29327;Hyannis;MA;Massachusetts;Northeast
41,69674;-70,3052;Barnstable;MA;Massachusetts;Northeast
41,74673;-70,06894;Brewster;MA;Massachusetts;Northeast
41,66074;-70,34826;Centerville;MA;Massachusetts;Northeast
41,68949;-69,97397;Chatham;MA;Massachusetts;Northeast
41,62348;-70,44051;Cotuit;MA;Massachusetts;Northeast
41,70493;-70,27245;Cummaquid;MA;Massachusetts;Northeast
41,73225;-70,19459;Dennis;MA;Massachusetts;Northeast
41,66639;-70,13535;Dennis Port;MA;Massachusetts;Northeast
41,75221;-70,15176;East Dennis;MA;Massachusetts;Northeast
41,83976;-69,97711;Eastham;MA;Massachusetts;Northeast
41,75534;-69,94002;East Orleans;MA;Massachusetts;Northeast
